file.names,Breve,Pseudocatenulatum,Bifidum,Adolescentis,Longum,Unknown
1188.1mo,0.07,0.01,0.66,0.06,0,0.2
1190.6mo,0,0,0,0,1,0
1191.3mo,0,0,0,0,1,0
1191.6mo,0,0,0,0,1,0
1192.3mo,0.43,0,0,0,0.57,0
1192.6mo,0.68,0,0,0,0.31,0.01
1193.1wk,0.26,0,0.08,0,0.64,0.02
1193.1mo,0.3,0.01,0.09,0,0.59,0.01
1193.3mo,0.11,0,0.06,0,0.83,0
1193.6mo,0.24,0,0.06,0,0.69,0.01
1194.3mo,0.06,0.02,0.9,0,0,0.02
1194.6mo,0.06,0.01,0.89,0,0,0.04
1195.3mo,0,0,0,0,1,0
1195.6mo,0.2,0,0,0,0.8,0
1196.1mo,0,0,0,0,1,0
1196.3mo,0,0,0,0,1,0
1196.6mo,0,0,0.01,0,0.99,0
1197.1wk,0,0.01,0.47,0,0.49,0.03
1197.1mo,0,0.02,0.71,0,0.24,0.03
1197.3mo,0,0.01,0.73,0,0.23,0.03
1197.6mo,0,0.02,0.73,0,0.22,0.03
1198.1wk,0,0,0.95,0.02,0,0.03
1198.1mo,0,0.02,0.9,0.03,0,0.05
1198.3mo,0,0,0.11,0,0.87,0.02
1198.6mo,0,0,0.04,0,0.95,0.01
1199.1wk,0,0,0.21,0,0.77,0.02
1199.1mo,0,0.03,0.49,0,0.44,0.04
1199.3mo,0,0.01,0.34,0,0.63,0.02
1199.6mo,0,0,0.01,0,0.99,0
1200.1wk,0.93,0,0,0.04,0,0.03
1200.1mo,0.9,0,0,0.06,0,0.04
1200.3mo,0.92,0,0,0.05,0,0.03
1200.6mo,0.09,0,0.23,0,0.66,0.02
1201.1wk,0.75,0,0,0,0.25,0
1201.1mo,0.09,0,0,0,0.91,0
1201.3mo,0.01,0,0.02,0,0.97,0
1201.6mo,0,0,0.03,0,0.97,0
1202.1mo,0,0.06,0.5,0,0.44,0
1202.3mo,0.05,0.01,0.88,0,0.04,0.02
1202.6mo,0.04,0.01,0.73,0,0.22,0
1203.1wk,0,0,0,0,1,0
1203.3mo,0,0.18,0,0,0.78,0.04
1203.6mo,0,0,0,0,1,0
1204.1wk,0.9,0,0,0.07,0,0.03
1204.1mo,0.91,0,0,0.06,0,0.03
1204.3mo,0.99,0,0,0.01,0,0
1204.6mo,0.73,0,0,0,0.26,0.01
1205.1wk,0,0.74,0,0,0.25,0.01
1205.1mo,0,0.65,0,0,0.34,0.01
1205.3mo,0,0.52,0,0,0.47,0.01
1205.6mo,0,0,0,0,1,0
1206.3mo,0.18,0,0.77,0,0,0.05
1206.6mo,0.36,0,0.58,0,0.02,0.04
1207.1mo,0,0.21,0,0,0.78,0.01
1207.3mo,0.02,0.23,0,0,0.74,0.01
1207.6mo,0.01,0.19,0,0,0.79,0.01
1208.1mo,0,0,0,0,1,0
1208.3mo,0,0,0.11,0,0.88,0.01
1208.6mo,0,0,0.18,0,0.8,0.02
